Finglish	Persian
nahveye khabare bad daadane maa maazandaraanihaa.	نحوه خبر بد دادن ما مازندرانی ها
moarefi mikonam:	معرفی میکنم:
az damaaghet daare khoon miyaad.	از دماغت داره خون میاد
dar nahhayat aakharin halgheye in paazel takmil shode.	درنهایت آخرین حلقه این پازل تکمیلشده
mitavaanim behtar kaar konim.	میتوانیم بهتر کار کنیم
alaan khodam miram taa be hame saabet beshe harfaash hame dorooghe.	الان خودم میرم تا به همه ثابت بشه حرفاش همه دروغه.
hamin alaan az oobre eshteraaki piyaade shodam.	همین الان از اوبر اشتراکی پیاده شدم
aashpaz koochoolooye man chi baraam pokhte?	آشپز کوچلوی من چی برام پخته؟
hast ye chand roozi. say kardam kasi nafahme taa yekhorde khodesh del o damaagh peydaa kone, bad.	هست یه چند روزی. سعی کردم کسی نفهمه تا یخورده خودش دل و دماغ پیدا کنه، بعد
haapooye baa namakie hamash delesh mikhaad naazesh koni.	هاپوی بانمکیه همش دلش میخواد نازش کنی.
salaam. richel gerin hastam.	سلام . ریچل گرین هستم
shab bidaari o bi khaabi aziatet nakone.	شب بیداری و بی خوابی اذیتت نکنه
too aasemoon monavar mizadan, aksaaye yaadegaari migereftan.	، تو آسمون منور میزدن، عکسای یادگاری میگرفتن
ziraa tanhaa baa komake ham mitavaanim rishe haaye asaasi va payaamad haaye aazaar va aziyat raa az miyan bardaarim.	زیرا تنها با کمک هم میتوانیم ریشههای اساسی و پیامدهای آزار و اذیت را از میان برداریم
darbaareye ye modiri be esme.	درباره یه مدیری به اسم
behtarin barkhord baa kasi ke aashghaal miandaazad biroon.	بهترین برخورد با كسی كه اشغال می ندازه بیرون
nokteye kelidi in ast dar in lahazaat sari va motafaker baashim.	نکته کلیدی این است در این لحظات سریع و متفکر باشیم
jaayi ke betavaanand yaad begirand va dar aamad daashte baashand.	جایی که بتوانند یاد بگیرند و درآمد داشته باشند
yani ghalbet bood. maa ro begoo koli negaraan shodim.	یعنی قلبت نبود. مارو بگو کلی نگرانت شدیم.
jale etelaa'aat - tasirgozaari bar, va yaa ijaade afraade moaser bar afkaare omoomi (infolooanser).	جعل اطلاعات -تأثیرگذاری بر، و یا ایجاد افراد مؤثر بر افکار عمومی (اینفلوئنسر)
hasan mano bebakhsh bezaar biyaaramet biroon.	حسن، منو ببخش بذار بیارمت بیرون
delam mikhaad faghat bekhaabam va hick kaari nakonam.	دلم میخاد فقط بخابم و هیچ کاری نکنم
nemidoonam chikaar konam.	نمیدونم چیکار کنم
common_voice_fa_18318642	از شما تقاضا دارم وی را سوگند بده که آیا بدهکاری خودش را داده است، یا خیر
hich sooraakhi oonjaa nist.	.هیچ سوراخی اونجا نیست
kheyli sholoogh bood, too yeki az koochehaa paark kardim va raftim shirini forooshi.	خیلی شلوغ بود،ماشینو تو یکی از کوچه ها پارک کردیم و رفتیم شیرینی فروشی
doraane koodakiye khod raa be khaater daarid, ehtemaalan shomaa asbaab baaziye morede alaaghei ke hamdame hamishegiye shomaa bood daashtid.	دوران کودکی خود را بخاطر دارید، احتمالاً شما اسباب بازی مورد علاقهای که همدم همیشگی شما بود داشتید
man o mamaan too oon sarmaa do taa bastaniyam zadim.	من و مامان تو اون سرما دوتا بستنیم زدیم
aslan daastaane jaalebi nist.	اصلا داستان جالبی نیست
daaram mimiram. vaay oomad oomad baa haale khafegish. rad kard. pesaram ye kebrit roshan kon.	دارم میمیرم. وای اومد اومد با حال خفگی آخیش . رد کرد. پسرم یه کبریت روشن کن.
sefaareshe ye pitzaa shabih.	.سفارش یه پیتزا شبیه
chon maa taarikhi toolani az sarkoob va naa baraabari daarim pas maa niyaaz daarim baa ham rooye aan kaar konim.	چون ما تاریخی طولانی از سرکوب و نابرابری داریم پس ما نیاز داریم با هم روی آن کار کنیم
khodaayaa mishe ye kaari koni in se maahe paaiz ke inghadr baraam doost daashtaniye talkh nashe va aaraambakhsh baashe???	خدایا میشه یه کاری کنی این سه ماه پائیز که انقدر برام دوست داشتنیه تلخ نشه و آرامشبخش باشه؟؟؟
manam too aayandeat hastam?	منم تو آینده ات هستم؟
-shomaa khaanom mohamadi hastin?	شما خانوم محمدی هستین؟-
beheshoon saabet mishe ke doroogh nagoftam.	بهشون ثابت میشه که دروغ نگفتم
khob bebakhshid baraaye in kaar.	خب ببخشید برای این کار
shomaa ham komakam mikonin, ino begiram?	شما هم کمکم می کنین، اینو بگیرم؟
na az tarsnaak boodane divhaa.	نه از ترسناک بودن دیوها
man az gi pi es am estefaade kardam va raaho peydaa kardam.	من از جی پی س ام استفاده کردم و راهو پیدا کردم
paahaaye khoshhaal.	پاهای خوشحال
in yeki kheyli mohem ast, hampeymaayi raa be revaale aadi tabdil konid.	این یکی خیلی مهم است، همپیمانی را به روال عادی تبدیل کنید
aanghad zibaast ke aadam doost daare oonjaa baajenaaghe sho bokoshe bad rahaa kone bere.	انقد زیباست که آدم دوست داره اونجا باجناق شو بکشه بعد رها کنه بره
vaay khodaa che barfi az dishab daare miyaad.	وای خدا چه برفی از دیشب داره میاد
vaghti polisaa paarti deleshoon mikhaad va shomaa az paarti bizaarid.	وقتی پلیسا پارتی دلشون می خواد و شما از پارتی بیزارید
dastet dard nakone! faghat moonde bood soozan too cheshmam bezani.	دستت درد نکنه! فقط تو مونده بودی سوزن تو چشمم بزنی.
tedaadi az revaayat haaye in ketaab raa maadaraane shahrestaani va maadaraane saakene khaarej az keshvar neveshteand.	تعدادی از روایتهای این کتاب را مادران شهرستانی و مادران ساکن خارج از کشور نوشتهاند
khob boro alaan miyaad biroon, bodo.	خب برو الان می یاد بیرون، بدو.
nemigozaaram deser nakhorde berin.	نمی گذارم دسر نخورده برین
digari kaar yek nafar raa dar moghaabele tamaame azaaye tim paare karde bood.	دیگری کار یک نفر را در مقابل تمام اعضای تیم پاره کرده بود
do baraabar kardane sarmaaye gozaari dar enerzhi haaye tajdid pazir.	دو برابر کردن سرمایهگذاری در انرژیهای تجدیدپذیر
adab va ehteraam mitavaanand baaese taghviyate amalkarde saazmaan beshavand.	ادب و احترام میتوانند باعث تقویت عملکرد سازمان بشوند
sepas etekhaaze moze darbaareye aan shoroo mishavad.	سپس اتخاذ موضع درباره آن شروع میشود
ghadimaa delam mikhaast mard boodam va ezdevaaj mikardam.	قدیما دلم میخاست مرد بودم و ازدواج میکردم
filmaaye doorbin makhfi haa shoono didin?	فیلمای دوربین مخفی هاشونو دیدین؟
marde najib ro didi do dasti besh bechasb baghiye ram sedaa kon.	مرد نجیب رو دیدی دو دستی بش بچسب بقیه رم صدا کن.
manzooram in bood ke ...	. . منظورم این بود که
va haghe shomaast ke poole khod raa motaabegh baa arzesh haaye khish modiriyat konid.	و حق شماست که پول خود را مطابق با ارزشهای خویش مدیریت کنید
cheraa aks haaye tablighaatiye yek khoraaki baa aslash motafaavet ast?	چرا عکسهای تبلیغاتی یک خوراکی با اصلش متفاوت است؟
sepas be ezhaare nazar bepardaazand.	سپس به اظهار نظر بپردازند
bale, maloome ke mitoonam.	بله، معلومه كه میتونم
jomleye aaghaa darbast miri? baraaye raanande taaksiya hokme azizam doostet daaram baraaye dokhtaraast.	جمله ی اقا دربست میری؟برای راننده تاکسیا حکم عزیزم دوستت دارم برای دختراست
khoone moon mibarim oonjaa.	خونه مون می بریم اونجا
aaghaa ham ghabool kard!	آقاهم قبول کرد!
porsid: maajeraaye kaarhaaye khoodemaan raa minevisid?	پرسید :ماجرای کارهای خودمان را می نویسید ؟
va ino hamishe yaadet baashe.	و اینو همیشه یادت باشه
va kasi ke entekhaab mikonid baashid yani hame chiz.	و کسی که انتخاب میکنید باشید یعنی همه چیز
oh! negaah kon! - chi man?	اوه! نگاه كن! -چی من؟
emkaan nadaare alaan kojaayi?	امکان نداره کجایی الان؟
injaa, intori baghal kon.	اینجا، اینطوری بغل کن
kontorolam ro az dast daadam?	کنترلم رو از دست دادم؟
daaram migam! daaram migam.	دارم میگم! دارم میگم
sobhe panj shanbe bar khalaafe roozaye dige, bade bidaar shodan, az takht boland nashodam.	صبح پنجشنبه برخلاف روزای دیگه،بعد بیدار شدن، از تخت بلند نشدم
ye khorde azash khosham oomad.	یه خورده ازش خوشم اومد
faateme sotoode: agar jelde badii dar kaar baashad, ghatan hamin kaar raa khaaham kard.	فاطمه ستوده: اگر جلد بعدیای در کار باشد، قطعا همین کار را خواهم کرد
ravaayate zanaani ke mikhaahand sedaayeshaan shenide shavad.	روایت زنانی که میخواهند صدایشان شنیده شود
baraaye bish az yek dahe, oo az yek reise bi adab ranj bord.	برای بیش از یک دهه، او از یک رئیس بیادب رنج برد
haale shomaa khoob ast?	حال شما خوب است؟
ghazaa kooshesh? man ghazaamo mikhaam.	غذا کوشش؟ من غذامو می خوام
saahebe ye dokhtar mishodam va badesh hamsare azizam mimord.	صاحب یه دختر میشدم و بعدش همسرعزیزم میمرد
del too delam nist bebinam aakhare in daastaan chi mishe.	دل تو دلم نیس ببینم اخر این داستان چی میشه
vali yek raahnamaaye kheradmand va daanaa mitavaanad be shomaa soaale dorost raa pishnahaad konad.	ولی یک راهنمای خردمند و دانا میتواند به شما سوال درست را پیشنهاد کند
etefaaghe badi oftaad.	اتفاق بدی افتاد
mikhaad estefaade kone?	می خواد استفاده کنه ؟
ye maadar shohar daaram: age az dastesh naaraahat baasham kheyli raahat mitoonam behesh begam, kheyli raahat mitoonam baahaash bahs konam.	یه مادرشوهردارم: اگه از دستش ناراحت باشم خیلی راحت میتونم بهش بگم،خیلی راحت میتونم باهاش بحث کنم
in ketaab maanande simorgh va si morgh ast.	این کتاب مانند سیمرغ و سی مرغ است
kaash mishod yekishoon pishe khodam negah daaram.	کاش می شد یکیشون پیش خودم نگه دارم
baraaye khande neveshte boodam.	برای خنده نوشته بودم
pas oon faghat ye marde khoobe.	پس اون فقط یه مرد خوبه
baazikone maraakesh gol be khode zad va kole iraan raft roo havaa az khoshhaalii.	بازیکن مراکش گل به خودی زد و کل ایران رفت رو هوا از خوشحالییییی
mitoonam in kaar ro bokonam.	میتونم این کار رو بکنم
khodaaye man! shomaahaa saalemin?	خدای من! شماها سالمین؟
be doktor viner zang mizanam.	به دکتر وینر زنگ میزنم
nimkate zakhireye time perspolis cheghadr mano yaade yakhchaal khoonamoon mindaaze.	نیمكت ذخیره ى تیم پرسپولیس چقدر منو یاد یخچال خونمون میندازه
in tajrobe raa daashtim.	این تجربه را داشتیم
oon jooraabesh ro andaakht?	اون جورابش رو انداخت ؟
oo migooyad avalin amaliyaatash ehdaase yek faaheshe khaane dar aalmaane sharghi bood.	او میگوید اولین عملیاتش احداث یک فاحشهخانه در آلمان شرقی بود
ke baraat kode takhfif befrestam.	که برات کد تخفیف بفرستم
oh na na hame chiz khoobe.	اوه نه نه همه چیز خوبه
dar khaane, aanlayn, dar madrese dar gorooh haayeshaan.	در خانه، آنلاین، در مدرسه در گروهایشان
na be khaatere in ke beri mikhaast tahvile hamaan rooz doritoye orgaanik daashte baashad.	نه بخاطر این که بری میخواست تحویل همان روز دوریتوی اورگانیک داشته باشد
